timestamp,broker,symbol,bid,ask,spread,spread_points,session,day_of_week
2026-01-16 10:45:20,VantageMarkets Raw,XAUUSD,4602.13,4602.21,0.08,8,London,Friday
2026-01-16 10:45:23,FPMarkets Raw,XAUUSD,4602.28,4602.35,0.07,7,London,Friday
2026-01-16 10:46:08,Pepperstone Razor,XAUUSD,4602.17,4602.3,0.13,13,London,Friday
2026-01-16 10:46:10,FusionMarkets Zero,XAUUSD,4601.88,4601.93,0.05,5,London,Friday
2026-01-16 10:46:14,ThinkMarkets ThinkZero,XAUUSD,4601.91,4601.99,0.08,8,London,Friday
2026-01-16 10:46:17,ICMarkets Raw,XAUUSD,4601.96,4602.01,0.05,5,London,Friday
2026-01-16 10:46:19,VantageMarkets Raw,XAUUSD,4601.85,4601.93,0.08,8,London,Friday
2026-01-16 10:46:22,FPMarkets Raw,XAUUSD,4601.72,4601.79,0.07,7,London,Friday
2026-01-16 10:47:08,Pepperstone Razor,XAUUSD,4602.73,4602.89,0.16,16,London,Friday
2026-01-16 10:47:11,FusionMarkets Zero,XAUUSD,4602.65,4602.71,0.06,6,London,Friday
2026-01-16 10:47:14,ThinkMarkets ThinkZero,XAUUSD,4602.62,4602.7,0.08,8,London,Friday
2026-01-16 10:47:17,ICMarkets Raw,XAUUSD,4602.25,4602.32,0.07,7,London,Friday
2026-01-16 10:47:20,VantageMarkets Raw,XAUUSD,4602.28,4602.36,0.08,8,London,Friday
2026-01-16 10:47:22,FPMarkets Raw,XAUUSD,4602.32,4602.39,0.07,7,London,Friday
2026-01-16 10:48:08,Pepperstone Razor,XAUUSD,4602.17,4602.36,0.19,19,London,Friday
2026-01-16 10:48:11,FusionMarkets Zero,XAUUSD,4602.09,4602.18,0.09,9,London,Friday
2026-01-16 10:48:15,ThinkMarkets ThinkZero,XAUUSD,4602.53,4602.61,0.08,8,London,Friday
2026-01-16 10:48:17,ICMarkets Raw,XAUUSD,4602.45,4602.53,0.08,8,London,Friday
2026-01-16 10:48:20,VantageMarkets Raw,XAUUSD,4602.46,4602.54,0.08,8,London,Friday
